name,price,change,change%,high,low
未來資產阿波羅基金,52.6600,0.0300,0.13,15.2600,8.5500
元大績效基金,19.1900,0.0400,0.00,22.4600,19.8100
台新主流基金,30.0200,0.0000,0.00,41.6700,13.5800
第一金創新趨勢基金,14.7200,0.0000,0.00,45.9800,50.0700
未來資產台灣新趨勢基金,20.6300,0.0000,15.3800,33.1900,17.9000
摩根台灣金磚基金,31.4600,51.5200,55.6100,10.2500,8.6700
國泰小龍基金,49.0600,52.4500,8.9100,45.5800,49.2000
富邦富邦基金,28.5800,17.4600,13.5800,0.65,12.87
日盛MIT主流基金,20.4200,40.5900,0.08,0.44,17.01
保德信金滿意基金,40.2400,12.40,0.07,0.33,57.14
保德信新世紀基金,17.1200,16.06,0.18,0.29,34.52
國泰價值卓越基金,3.88,54.64,0.09,0.20,21.18
富邦長紅基金,3.26,30.79,0.04,0.20,11.23
富邦台灣心基金,7.73,20.11,0.02,0.15,21.46
安聯台灣大壩基金,5.70,10.21,0.03,0.13,45.12
群益馬拉松基金,7.70,19.92,0.05,0.13,19.81
富邦高成長基金,2.67,37.18,0.02,0.12,24.00
國泰國泰基金,4.10,15.06,0.02,0.08,36.05
元大多福基金,7.45,17.02,0.02,0.08,54.94
安聯台灣智慧基金,4.44,26.01,0.04,0.00,65.67
保德信高成長基金,5.21,52.38,0.00,0.00,17.51
群益長安基金,7.87,58.46,0.00,8.29,30.98
保德信第一基金,4.47,15.21,33.89,62.27,7.53
德信大發基金,7.37,24.71,57.15,40.88,42.17
富邦精準基金,3.57,4.86,3.70,4.33,29.62
永豐永豐基金,32.75,37.99,16.68,22.26,4.10
路博邁AR台灣股票基金I月配型(本基金之配息來源可能為本金),35.88,12.80,21.38,23.23,27.42
路博邁AR台灣股票基金I累積型,5.95,5.02,8.80,7.80,35.44
聯邦中國龍基金,31.36,38.35,39.60,0.28,1.16
中國信託台灣優勢基金,35.88,37.38,24.38,0.21,0.83
日盛新台商基金,8.24,6.77,25.60,0.35,0.80
第一金大中華基金,37.32,9.97,44.12,0.10,0.65
台新中國通基金,60.53,4.78,15.58,0.04,0.09
國泰大中華基金,26.97,9.24,45.53,0.03,0.05
保德信台商全方位基金,45.61,6.56,62.99,0.01,0.04
富達台灣成長基金,22.86,6.26,22.53,0.00,0.00
野村台灣高股息基金,47.63,8.39,11.09,24.83,4.45
元大巴菲特基金,64.94,6.38,21.41,35.20,38.92
第一金店頭市場基金,29.78,3.13,3.52,3.50,38.14
新光店頭基金,16.79,20.45,14.82,34.25,8.10
保德信店頭市場基金,19.61,14.06,24.69,10.53,12.33
元大店頭基金,8.73,7.31,8.46,4.96,45.17
群益店頭市場基金,38.85,51.34,20.51,47.88,6.53
安聯全球油礦金趨勢基金,49.39,19.35,45.18,24.19,0.39
宏利精選中華基金(人民幣避險),3.43,9.83,7.06,16.54,0.14
德銀遠東DWS全球原物料能源基金,48.22,19.21,7.48,23.72,0.20
宏利精選中華基金(台幣),18.44,47.55,4.00,24.61,0.18
復華全球原物料基金,1.64,17.23,5.42,27.66,0.19
兆豐國際綠鑽基金,0.85,25.20,7.96,13.54,0.09
華頓全球黑鑽油源基金,0.85,27.21,7.73,31.74,0.21
匯豐黃金及礦業股票型基金,0.74,29.71,4.84,27.16,0.17
復華華人世紀基金,0.69,62.04,9.70,42.77,0.26
富蘭克林華美全球成長基金(美元),0.67,31.74,8.35,32.55,0.19
富蘭克林華美全球成長基金(台幣),0.67,28.43,6.75,30.21,0.16
摩根龍揚基金,0.63,45.05,2.88,19.30,0.10
德銀遠東DWS全球神農基金,0.61,33.69,6.32,101.22,0.52
凱基亞洲護城河基金(人民幣),0.59,41.20,7.78,23.36,0.11
華南永昌全球精品基金,0.53,33.76,9.41,68.39,0.30
野村全球品牌基金,0.52,106.63,7.54,25.42,0.11
元大新興市場ESG策略基金,0.52,46.69,7.77,19.88,0.08
匯豐全球關鍵資源基金,0.47,72.06,7.43,12.61,0.05
華頓全球時尚精品基金,0.44,26.85,4.38,19.30,0.07
兆豐國際民生動力基金(美元),0.43,20.48,3.76,11.18,0.04
華南永昌策略報酬基金,0.40,13.93,8.06,23.77,0.08
凱基亞洲護城河基金(台幣),0.40,19.69,7.31,36.15,0.12
凱基亞洲護城河基金(美元),0.36,12.35,5.31,37.34,0.12
國泰全球基礎建設基金(台幣),0.36,24.58,4.97,31.59,0.10
國泰全球基礎建設基金(美元),0.34,37.10,8.75,9.72,0.03
兆豐國際全球基金,0.33,40.39,7.32,50.82,0.15
安聯全球生技趨勢基金(美元),0.32,37.54,9.59,20.63,0.06
元大全球農業商機基金,0.32,10.03,7.89,36.11,0.10
合庫全球新興市場基金,0.31,52.73,9.10,28.04,0.07
兆豐國際民生動力基金(台幣),0.30,21.59,5.78,49.86,0.12
安聯全球生技趨勢基金(台幣),0.29,37.80,5.34,39.10,0.09
瑞銀全球創新趨勢基金,0.28,28.60,9.89,19.40,0.04
中國信託全球股票入息基金-累積型(本基金之配息來源可能為本金),0.25,52.34,8.19,9.80,0.02
凱基資源國基金,0.24,40.67,4.99,54.84,0.11
